--- STDOUT ---
[2025-05-17 19:00:37.803206] [0x0000071c] [debug]   TriangleMesh::repair() started
[2025-05-17 19:00:37.951154] [0x0000071c] [debug]   TriangleMesh::repair() finished
[2025-05-17 19:00:38.067408] [0x0000071c] [debug]   BuildVolume bed_shape clasified as: Rectangle
[2025-05-17 19:00:38.081371] [0x0000071c] [info]    Starting the slicing process. WorkingSet: 42MB; PrivateBytes: 30MB; Pagefile(peak): 30MB(111MB)
10 => Processing triangulated mesh
[2025-05-17 19:00:38.081371] [0x0000071c] [info]    Slicing volumes... WorkingSet: 42MB; PrivateBytes: 30MB; Pagefile(peak): 30MB(111MB)
[2025-05-17 19:00:38.083397] [0x0000071c] [debug]   slice_mesh to polygons
[2025-05-17 19:00:42.479711] [0x0000071c] [debug]   Slicing volumes - removing top empty layers
[2025-05-17 19:00:42.479711] [0x0000071c] [debug]   Slicing volumes - make_slices in parallel - begin
[2025-05-17 19:00:42.556031] [0x0000071c] [debug]   Slicing volumes - make_slices in parallel - end
20 => Generating perimeters
[2025-05-17 19:00:47.933362] [0x0000071c] [info]    Generating perimeters... WorkingSet: 187MB; PrivateBytes: 175MB; Pagefile(peak): 175MB(335MB)
[2025-05-17 19:00:47.933362] [0x0000071c] [debug]   Generating extra perimeters for region 0 in parallel - start
[2025-05-17 19:00:58.909019] [0x0000071c] [debug]   Generating extra perimeters for region 0 in parallel - end
[2025-05-17 19:00:58.909019] [0x0000071c] [debug]   Generating perimeters in parallel - start
[2025-05-17 19:00:58.909019] [0x00000e44] [trace]   Generating perimeters for layer 103
[2025-05-17 19:00:58.909019] [0x00000e44] [trace]   Generating perimeters for layer 103, region 0
[2025-05-17 19:00:58.909019] [0x0000020c] [trace]   Generating perimeters for layer 206
[2025-05-17 19:00:58.909019] [0x0000071c] [trace]   Generating perimeters for layer 0
[2025-05-17 19:00:58.909019] [0x0000020c] [trace]   Generating perimeters for layer 206, region 0
[2025-05-17 19:00:58.909019] [0x000024ac] [trace]   Generating perimeters for layer 51
[2025-05-17 19:00:58.909019] [0x0000071c] [trace]   Generating perimeters for layer 0, region 0
[2025-05-17 19:00:58.909019] [0x000024ac] [trace]   Generating perimeters for layer 51, region 0
[2025-05-17 19:00:58.913009] [0x0000071c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 533429, inner-wall width = 533429.
[2025-05-17 19:00:58.913009] [0x0000071c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
