--- STDOUT ---
[2025-05-17 19:10:18.899927] [0x00001ee8] [debug]   TriangleMesh::repair() started
[2025-05-17 19:10:18.902919] [0x00001ee8] [debug]   TriangleMesh::repair() finished
[2025-05-17 19:10:18.907905] [0x00001ee8] [debug]   BuildVolume bed_shape clasified as: Rectangle
[2025-05-17 19:10:18.908902] [0x00001ee8] [info]    Starting the slicing process. WorkingSet: 32MB; PrivateBytes: 22MB; Pagefile(peak): 22MB(22MB)
10 => Processing triangulated mesh
[2025-05-17 19:10:18.908902] [0x00001ee8] [info]    Slicing volumes... WorkingSet: 32MB; PrivateBytes: 22MB; Pagefile(peak): 22MB(22MB)
[2025-05-17 19:10:18.908902] [0x00001ee8] [debug]   slice_mesh to polygons
[2025-05-17 19:10:18.937825] [0x00001ee8] [debug]   Slicing volumes - removing top empty layers
[2025-05-17 19:10:18.937825] [0x00001ee8] [debug]   Slicing volumes - make_slices in parallel - begin
[2025-05-17 19:10:18.941814] [0x00001ee8] [debug]   Slicing volumes - make_slices in parallel - end
20 => Generating perimeters
[2025-05-17 19:10:18.953827] [0x00001ee8] [info]    Generating perimeters... WorkingSet: 45MB; PrivateBytes: 34MB; Pagefile(peak): 34MB(34MB)
[2025-05-17 19:10:18.953827] [0x00001ee8] [debug]   Generating extra perimeters for region 0 in parallel - start
[2025-05-17 19:10:19.006194] [0x00001ee8] [debug]   Generating extra perimeters for region 0 in parallel - end
[2025-05-17 19:10:19.006194] [0x00001ee8] [debug]   Generating perimeters in parallel - start
[2025-05-17 19:10:19.006194] [0x00000bd8] [trace]   Generating perimeters for layer 86
[2025-05-17 19:10:19.006194] [0x0000299c] [trace]   Generating perimeters for layer 21
[2025-05-17 19:10:19.007192] [0x00001ee8] [trace]   Generating perimeters for layer 0
[2025-05-17 19:10:19.007192] [0x000015e8] [trace]   Generating perimeters for layer 43
[2025-05-17 19:10:19.007192] [0x00001ee8] [trace]   Generating perimeters for layer 0, region 0
[2025-05-17 19:10:19.007192] [0x0000299c] [trace]   Generating perimeters for layer 21, region 0
[2025-05-17 19:10:19.007192] [0x00000bd8] [trace]   Generating perimeters for layer 86, region 0
[2025-05-17 19:10:19.007192] [0x000015e8] [trace]   Generating perimeters for layer 43, region 0
[2025-05-17 19:10:19.007192] [0x00000bd8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:10:19.007192] [0x00000bd8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
