--- STDOUT ---
[2025-05-17 19:22:09.655024] [0x00002b64] [debug]   TriangleMesh::repair() started
[2025-05-17 19:22:09.659013] [0x00002b64] [debug]   TriangleMesh::repair() finished
[2025-05-17 19:22:09.663003] [0x00002b64] [debug]   BuildVolume bed_shape clasified as: Rectangle
[2025-05-17 19:22:09.664000] [0x00002b64] [info]    Starting the slicing process. WorkingSet: 32MB; PrivateBytes: 22MB; Pagefile(peak): 22MB(22MB)
10 => Processing triangulated mesh
[2025-05-17 19:22:09.664000] [0x00002b64] [info]    Slicing volumes... WorkingSet: 32MB; PrivateBytes: 22MB; Pagefile(peak): 22MB(22MB)
[2025-05-17 19:22:09.664000] [0x00002b64] [debug]   slice_mesh to polygons
[2025-05-17 19:22:09.692923] [0x00002b64] [debug]   Slicing volumes - removing top empty layers
[2025-05-17 19:22:09.692923] [0x00002b64] [debug]   Slicing volumes - make_slices in parallel - begin
[2025-05-17 19:22:09.696912] [0x00002b64] [debug]   Slicing volumes - make_slices in parallel - end
20 => Generating perimeters
[2025-05-17 19:22:09.707882] [0x00002b64] [info]    Generating perimeters... WorkingSet: 45MB; PrivateBytes: 34MB; Pagefile(peak): 34MB(34MB)
[2025-05-17 19:22:09.707882] [0x00002b64] [debug]   Generating extra perimeters for region 0 in parallel - start
[2025-05-17 19:22:09.760741] [0x00002b64] [debug]   Generating extra perimeters for region 0 in parallel - end
[2025-05-17 19:22:09.760741] [0x00002b64] [debug]   Generating perimeters in parallel - start
[2025-05-17 19:22:09.760741] [0x00002298] [trace]   Generating perimeters for layer 64
[2025-05-17 19:22:09.760741] [0x00000598] [trace]   Generating perimeters for layer 43
[2025-05-17 19:22:09.760741] [0x00002298] [trace]   Generating perimeters for layer 64, region 0
[2025-05-17 19:22:09.760741] [0x0000255c] [trace]   Generating perimeters for layer 86
[2025-05-17 19:22:09.760741] [0x00002b64] [trace]   Generating perimeters for layer 0
[2025-05-17 19:22:09.760741] [0x00000598] [trace]   Generating perimeters for layer 43, region 0
[2025-05-17 19:22:09.760741] [0x0000255c] [trace]   Generating perimeters for layer 86, region 0
[2025-05-17 19:22:09.760741] [0x00002b64] [trace]   Generating perimeters for layer 0, region 0
[2025-05-17 19:22:09.761738] [0x0000255c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:22:09.761738] [0x0000255c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:22:09.761738] [0x00002b64] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 533429, inner-wall width = 533429.
[2025-05-17 19:22:09.761738] [0x00002b64] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
