--- STDOUT ---
[2025-05-18 20:17:10.700932] [0x00001b3c] [debug]   TriangleMesh::repair() started
[2025-05-18 20:17:10.860329] [0x00001b3c] [debug]   TriangleMesh::repair() finished
[2025-05-18 20:17:10.966778] [0x00001b3c] [debug]   BuildVolume bed_shape clasified as: Rectangle
[2025-05-18 20:17:10.973813] [0x00001b3c] [info]    Starting the slicing process. WorkingSet: 42MB; PrivateBytes: 31MB; Pagefile(peak): 31MB(111MB)
10 => Processing triangulated mesh
[2025-05-18 20:17:10.973813] [0x00001b3c] [info]    Slicing volumes... WorkingSet: 42MB; PrivateBytes: 31MB; Pagefile(peak): 31MB(111MB)
[2025-05-18 20:17:10.973813] [0x00001b3c] [debug]   slice_mesh to polygons
[2025-05-18 20:17:13.679447] [0x00001b3c] [debug]   Slicing volumes - removing top empty layers
[2025-05-18 20:17:13.679447] [0x00001b3c] [debug]   Slicing volumes - make_slices in parallel - begin
[2025-05-18 20:17:13.720092] [0x00001b3c] [debug]   Slicing volumes - make_slices in parallel - end
20 => Generating perimeters
[2025-05-18 20:17:16.493118] [0x00001b3c] [info]    Generating perimeters... WorkingSet: 191MB; PrivateBytes: 195MB; Pagefile(peak): 195MB(289MB)
[2025-05-18 20:17:16.493118] [0x00001b3c] [debug]   Generating extra perimeters for region 0 in parallel - start
[2025-05-18 20:17:23.113659] [0x00001b3c] [debug]   Generating extra perimeters for region 0 in parallel - end
[2025-05-18 20:17:23.113659] [0x00001b3c] [debug]   Generating perimeters in parallel - start
[2025-05-18 20:17:23.113659] [0x00001b3c] [trace]   Generating perimeters for layer 0
[2025-05-18 20:17:23.113659] [0x00001b3c] [trace]   Generating perimeters for layer 0, region 0
[2025-05-18 20:17:23.113659] [0x00001a20] [trace]   Generating perimeters for layer 309
[2025-05-18 20:17:23.113659] [0x00001a20] [trace]   Generating perimeters for layer 309, region 0
[2025-05-18 20:17:23.113659] [0x000014b8] [trace]   Generating perimeters for layer 206
[2025-05-18 20:17:23.113659] [0x000014b8] [trace]   Generating perimeters for layer 206, region 0
[2025-05-18 20:17:23.113659] [0x00001af8] [trace]   Generating perimeters for layer 103
[2025-05-18 20:17:23.113659] [0x00001af8] [trace]   Generating perimeters for layer 103, region 0
[2025-05-18 20:17:23.113659] [0x00001b3c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 533429, inner-wall width = 533429.
[2025-05-18 20:17:23.113659] [0x00001b3c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-18 20:17:23.113659] [0x00001b3c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-18 20:17:23.131173] [0x00001af8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-18 20:17:23.131173] [0x00001af8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
