--- STDOUT ---
[2025-05-20 16:02:53.246316] [0x00001f5c] [debug]   TriangleMesh::repair() started
[2025-05-20 16:02:53.276515] [0x00001f5c] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-20 16:02:53.276515] [0x00001f5c] [info]    Back to the first facet changing vertices: probably a mobius part. Try using a smaller tolerance or don't do a nearby check.
[2025-05-20 16:02:53.298716] [0x00001f5c] [debug]   TriangleMesh::repair() finished
[2025-05-20 16:02:53.405722] [0x00001f5c] [debug]   BuildVolume bed_shape clasified as: Rectangle
[2025-05-20 16:02:53.411513] [0x00001f5c] [info]    Starting the slicing process. WorkingSet: 36MB; PrivateBytes: 26MB; Pagefile(peak): 26MB(51MB)
10 => Processing triangulated mesh
[2025-05-20 16:02:53.411513] [0x00001f5c] [info]    Slicing volumes... WorkingSet: 36MB; PrivateBytes: 26MB; Pagefile(peak): 26MB(51MB)
[2025-05-20 16:02:53.413508] [0x00001f5c] [debug]   slice_mesh to polygons
[2025-05-20 16:02:53.645312] [0x00001f5c] [debug]   Slicing volumes - removing top empty layers
[2025-05-20 16:02:53.645312] [0x00001f5c] [debug]   Slicing volumes - make_slices in parallel - begin
[2025-05-20 16:02:53.668147] [0x00001f5c] [debug]   Slicing volumes - make_slices in parallel - end
20 => Generating perimeters
[2025-05-20 16:02:53.832383] [0x00001f5c] [info]    Generating perimeters... WorkingSet: 79MB; PrivateBytes: 79MB; Pagefile(peak): 79MB(79MB)
[2025-05-20 16:02:53.832383] [0x00001f5c] [debug]   Generating extra perimeters for region 0 in parallel - start
[2025-05-20 16:02:54.332608] [0x00001f5c] [debug]   Generating extra perimeters for region 0 in parallel - end
[2025-05-20 16:02:54.332608] [0x00001f5c] [debug]   Generating perimeters in parallel - start
[2025-05-20 16:02:54.332608] [0x00001f5c] [trace]   Generating perimeters for layer 0
[2025-05-20 16:02:54.332608] [0x00001f5c] [trace]   Generating perimeters for layer 0, region 0
[2025-05-20 16:02:54.333113] [0x00002068] [trace]   Generating perimeters for layer 58
[2025-05-20 16:02:54.333113] [0x00002068] [trace]   Generating perimeters for layer 58, region 0
