--- STDOUT ---
[2025-05-22 13:21:29.575600] [0x00000edc] [debug]   TriangleMesh::repair() started
[2025-05-22 13:21:29.744232] [0x00000edc] [debug]   TriangleMesh::repair() finished
[2025-05-22 13:21:29.863673] [0x00000edc] [debug]   BuildVolume bed_shape clasified as: Rectangle
[2025-05-22 13:21:29.877233] [0x00000edc] [info]    Starting the slicing process. WorkingSet: 41MB; PrivateBytes: 31MB; Pagefile(peak): 31MB(111MB)
10 => Processing triangulated mesh
[2025-05-22 13:21:29.877233] [0x00000edc] [info]    Slicing volumes... WorkingSet: 41MB; PrivateBytes: 31MB; Pagefile(peak): 31MB(111MB)
[2025-05-22 13:21:29.877233] [0x00000edc] [debug]   slice_mesh to polygons
[2025-05-22 13:21:32.923191] [0x00000edc] [debug]   Slicing volumes - removing top empty layers
[2025-05-22 13:21:32.923191] [0x00000edc] [debug]   Slicing volumes - make_slices in parallel - begin
[2025-05-22 13:21:32.958443] [0x00000edc] [debug]   Slicing volumes - make_slices in parallel - end
20 => Generating perimeters
[2025-05-22 13:21:35.959250] [0x00000edc] [info]    Generating perimeters... WorkingSet: 175MB; PrivateBytes: 177MB; Pagefile(peak): 177MB(328MB)
[2025-05-22 13:21:35.959250] [0x00000edc] [debug]   Generating extra perimeters for region 0 in parallel - start
[2025-05-22 13:21:43.255332] [0x00000edc] [debug]   Generating extra perimeters for region 0 in parallel - end
[2025-05-22 13:21:43.255332] [0x00000edc] [debug]   Generating perimeters in parallel - start
[2025-05-22 13:21:43.255332] [0x00000edc] [trace]   Generating perimeters for layer 0
[2025-05-22 13:21:43.255332] [0x00001dd8] [trace]   Generating perimeters for layer 206
[2025-05-22 13:21:43.255332] [0x00000edc] [trace]   Generating perimeters for layer 0, region 0
[2025-05-22 13:21:43.255332] [0x00001dd8] [trace]   Generating perimeters for layer 206, region 0
[2025-05-22 13:21:43.255332] [0x00001850] [trace]   Generating perimeters for layer 103
[2025-05-22 13:21:43.255332] [0x00001850] [trace]   Generating perimeters for layer 103, region 0
[2025-05-22 13:21:43.255332] [0x00002db4] [trace]   Generating perimeters for layer 309
[2025-05-22 13:21:43.255332] [0x00002db4] [trace]   Generating perimeters for layer 309, region 0
[2025-05-22 13:21:43.255332] [0x00000edc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 533429, inner-wall width = 533429.
[2025-05-22 13:21:43.255332] [0x00000edc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:21:43.255332] [0x00000edc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:21:43.267846] [0x00001850] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:21:43.267846] [0x00001850] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:21:43.267846] [0x00001850] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:21:43.268641] [0x00001dd8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:21:43.268641] [0x00001dd8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:21:43.268641] [0x00001dd8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:21:43.268641] [0x00002db4] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:21:43.268641] [0x00002db4] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:21:43.268641] [0x00002db4] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:21:43.281931] [0x00000edc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 533429, inner-wall width = 533429.
[2025-05-22 13:21:43.281931] [0x00000edc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:21:43.281931] [0x00000edc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:21:43.295310] [0x00001850] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:21:43.295310] [0x00001850] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:21:43.295310] [0x00001850] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:21:43.295310] [0x00001dd8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:21:43.295310] [0x00001dd8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:21:43.295310] [0x00001dd8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:21:43.295310] [0x00000edc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 533429, inner-wall width = 533429.
[2025-05-22 13:21:43.295310] [0x00000edc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:21:43.295310] [0x00000edc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:21:43.310654] [0x00002db4] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:21:43.310654] [0x00002db4] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:21:43.310654] [0x00002db4] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:21:43.322634] [0x00000edc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 533429, inner-wall width = 533429.
[2025-05-22 13:21:43.322634] [0x00000edc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:21:43.322634] [0x00000edc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:21:43.322634] [0x00001850] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:21:43.322634] [0x00001850] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:21:43.322634] [0x00001850] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:21:43.335326] [0x00001dd8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:21:43.335326] [0x00001dd8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:21:43.335326] [0x00001dd8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:21:43.345337] [0x00002db4] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:21:43.345337] [0x00002db4] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:21:43.345337] [0x00002db4] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:21:43.348653] [0x00000edc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 533429, inner-wall width = 533429.
[2025-05-22 13:21:43.348653] [0x00000edc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:21:43.348653] [0x00000edc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:21:43.361991] [0x00001850] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:21:43.361991] [0x00001850] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:21:43.361991] [0x00001850] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:21:43.375661] [0x00001dd8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:21:43.375661] [0x00001dd8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:21:43.375661] [0x00001dd8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:21:43.375661] [0x00000edc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 533429, inner-wall width = 533429.
[2025-05-22 13:21:43.375661] [0x00000edc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:21:43.375661] [0x00000edc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:21:43.375661] [0x00002db4] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:21:43.375661] [0x00002db4] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:21:43.375661] [0x00002db4] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:21:43.396677] [0x00001850] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:21:43.396677] [0x00001850] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
