--- STDOUT ---
[2025-05-22 13:23:07.980373] [0x00002918] [debug]   TriangleMesh::repair() started
[2025-05-22 13:23:07.993124] [0x00002918] [debug]   TriangleMesh::repair() finished
[2025-05-22 13:23:07.993124] [0x00002918] [debug]   BuildVolume bed_shape clasified as: Rectangle
[2025-05-22 13:23:08.000135] [0x00002918] [info]    Starting the slicing process. WorkingSet: 32MB; PrivateBytes: 22MB; Pagefile(peak): 22MB(22MB)
10 => Processing triangulated mesh
[2025-05-22 13:23:08.000135] [0x00002918] [info]    Slicing volumes... WorkingSet: 32MB; PrivateBytes: 22MB; Pagefile(peak): 22MB(22MB)
[2025-05-22 13:23:08.000135] [0x00002918] [debug]   slice_mesh to polygons
[2025-05-22 13:23:08.036080] [0x00002918] [debug]   Slicing volumes - removing top empty layers
[2025-05-22 13:23:08.037084] [0x00002918] [debug]   Slicing volumes - make_slices in parallel - begin
[2025-05-22 13:23:08.037609] [0x00002918] [debug]   Slicing volumes - make_slices in parallel - end
20 => Generating perimeters
[2025-05-22 13:23:08.046521] [0x00002918] [info]    Generating perimeters... WorkingSet: 45MB; PrivateBytes: 38MB; Pagefile(peak): 38MB(38MB)
[2025-05-22 13:23:08.046521] [0x00002918] [debug]   Generating extra perimeters for region 0 in parallel - start
[2025-05-22 13:23:08.120565] [0x00002918] [debug]   Generating extra perimeters for region 0 in parallel - end
[2025-05-22 13:23:08.120565] [0x00002918] [debug]   Generating perimeters in parallel - start
[2025-05-22 13:23:08.120565] [0x00000440] [trace]   Generating perimeters for layer 129
[2025-05-22 13:23:08.120565] [0x00002918] [trace]   Generating perimeters for layer 0
[2025-05-22 13:23:08.120565] [0x00000fcc] [trace]   Generating perimeters for layer 86
[2025-05-22 13:23:08.123577] [0x00002700] [trace]   Generating perimeters for layer 150
[2025-05-22 13:23:08.123577] [0x00000440] [trace]   Generating perimeters for layer 129, region 0
[2025-05-22 13:23:08.123577] [0x00002918] [trace]   Generating perimeters for layer 0, region 0
[2025-05-22 13:23:08.123577] [0x00000fcc] [trace]   Generating perimeters for layer 86, region 0
[2025-05-22 13:23:08.123577] [0x00002700] [trace]   Generating perimeters for layer 150, region 0
[2025-05-22 13:23:08.123577] [0x00002700] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:23:08.123577] [0x00002700] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:23:08.123577] [0x00002700] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:23:08.123577] [0x00002918] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 533429, inner-wall width = 533429.
[2025-05-22 13:23:08.123577] [0x00002918] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:23:08.123577] [0x00002918] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:23:08.123577] [0x00000fcc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:23:08.123577] [0x00000fcc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:23:08.123577] [0x00000fcc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:23:08.123577] [0x00000440] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:23:08.123577] [0x00000440] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:23:08.123577] [0x00000440] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:23:08.123577] [0x00000fcc] [trace]   Generating perimeters for layer 86 - Done
[2025-05-22 13:23:08.123577] [0x00002700] [trace]   Generating perimeters for layer 150 - Done
[2025-05-22 13:23:08.123577] [0x00000440] [trace]   Generating perimeters for layer 129 - Done
[2025-05-22 13:23:08.123577] [0x00000fcc] [trace]   Generating perimeters for layer 87
[2025-05-22 13:23:08.123577] [0x00000440] [trace]   Generating perimeters for layer 130
[2025-05-22 13:23:08.123577] [0x00000fcc] [trace]   Generating perimeters for layer 87, region 0
[2025-05-22 13:23:08.123577] [0x00000440] [trace]   Generating perimeters for layer 130, region 0
[2025-05-22 13:23:08.123577] [0x00002700] [trace]   Generating perimeters for layer 151
[2025-05-22 13:23:08.123577] [0x00002700] [trace]   Generating perimeters for layer 151, region 0
[2025-05-22 13:23:08.123577] [0x00000440] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:23:08.123577] [0x00000440] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:23:08.123577] [0x00000440] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:23:08.123577] [0x00002700] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:23:08.123577] [0x00002700] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:23:08.123577] [0x00002700] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:23:08.123577] [0x00000fcc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:23:08.123577] [0x00000fcc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:23:08.123577] [0x00000fcc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:23:08.123577] [0x00002700] [trace]   Generating perimeters for layer 151 - Done
[2025-05-22 13:23:08.123577] [0x00002700] [trace]   Generating perimeters for layer 152
[2025-05-22 13:23:08.123577] [0x00002700] [trace]   Generating perimeters for layer 152, region 0
[2025-05-22 13:23:08.123577] [0x00000440] [trace]   Generating perimeters for layer 130 - Done
[2025-05-22 13:23:08.123577] [0x00000440] [trace]   Generating perimeters for layer 131
[2025-05-22 13:23:08.123577] [0x00000440] [trace]   Generating perimeters for layer 131, region 0
[2025-05-22 13:23:08.123577] [0x00000fcc] [trace]   Generating perimeters for layer 87 - Done
[2025-05-22 13:23:08.123577] [0x00000fcc] [trace]   Generating perimeters for layer 88
[2025-05-22 13:23:08.123577] [0x00000fcc] [trace]   Generating perimeters for layer 88, region 0
[2025-05-22 13:23:08.123577] [0x00002700] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:23:08.123577] [0x00002700] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:23:08.123577] [0x00002700] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:23:08.123577] [0x00002700] [trace]   Generating perimeters for layer 152 - Done
[2025-05-22 13:23:08.123577] [0x00000fcc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:23:08.123577] [0x00000fcc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:23:08.123577] [0x00000fcc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:23:08.126161] [0x00002700] [trace]   Generating perimeters for layer 153
[2025-05-22 13:23:08.126161] [0x00002700] [trace]   Generating perimeters for layer 153, region 0
[2025-05-22 13:23:08.126161] [0x00000440] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:23:08.126161] [0x00000440] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:23:08.126161] [0x00000440] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:23:08.126161] [0x00000fcc] [trace]   Generating perimeters for layer 88 - Done
[2025-05-22 13:23:08.126161] [0x00000fcc] [trace]   Generating perimeters for layer 89
[2025-05-22 13:23:08.126161] [0x00000fcc] [trace]   Generating perimeters for layer 89, region 0
[2025-05-22 13:23:08.126161] [0x00002700] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:23:08.126161] [0x00002700] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:23:08.126161] [0x00002700] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:23:08.126161] [0x00000440] [trace]   Generating perimeters for layer 131 - Done
[2025-05-22 13:23:08.126161] [0x00000440] [trace]   Generating perimeters for layer 132
[2025-05-22 13:23:08.126161] [0x00000440] [trace]   Generating perimeters for layer 132, region 0
[2025-05-22 13:23:08.126161] [0x00000fcc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:23:08.126161] [0x00000fcc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:23:08.126161] [0x00000fcc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:23:08.126161] [0x00000440] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:23:08.126161] [0x00002700] [trace]   Generating perimeters for layer 153 - Done
[2025-05-22 13:23:08.126161] [0x00000440] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:23:08.126161] [0x00002700] [trace]   Generating perimeters for layer 154
[2025-05-22 13:23:08.126161] [0x00000440] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:23:08.126161] [0x00002700] [trace]   Generating perimeters for layer 154, region 0
[2025-05-22 13:23:08.127158] [0x00000fcc] [trace]   Generating perimeters for layer 89 - Done
[2025-05-22 13:23:08.127158] [0x00000fcc] [trace]   Generating perimeters for layer 90
[2025-05-22 13:23:08.127158] [0x00000fcc] [trace]   Generating perimeters for layer 90, region 0
[2025-05-22 13:23:08.127158] [0x00002700] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:23:08.127158] [0x00002700] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:23:08.127158] [0x00002700] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:23:08.127158] [0x00000440] [trace]   Generating perimeters for layer 132 - Done
