--- STDOUT ---
[2025-05-22 13:25:38.101885] [0x000024ac] [debug]   TriangleMesh::repair() started
[2025-05-22 13:25:38.115065] [0x000024ac] [debug]   TriangleMesh::repair() finished
[2025-05-22 13:25:38.115065] [0x000024ac] [debug]   BuildVolume bed_shape clasified as: Rectangle
[2025-05-22 13:25:38.115065] [0x000024ac] [info]    Starting the slicing process. WorkingSet: 32MB; PrivateBytes: 22MB; Pagefile(peak): 22MB(22MB)
10 => Processing triangulated mesh
[2025-05-22 13:25:38.115065] [0x000024ac] [info]    Slicing volumes... WorkingSet: 32MB; PrivateBytes: 22MB; Pagefile(peak): 22MB(22MB)
[2025-05-22 13:25:38.115065] [0x000024ac] [debug]   slice_mesh to polygons
[2025-05-22 13:25:38.159131] [0x000024ac] [debug]   Slicing volumes - removing top empty layers
[2025-05-22 13:25:38.159131] [0x000024ac] [debug]   Slicing volumes - make_slices in parallel - begin
[2025-05-22 13:25:38.163120] [0x000024ac] [debug]   Slicing volumes - make_slices in parallel - end
20 => Generating perimeters
[2025-05-22 13:25:38.168041] [0x000024ac] [info]    Generating perimeters... WorkingSet: 47MB; PrivateBytes: 38MB; Pagefile(peak): 38MB(38MB)
[2025-05-22 13:25:38.168041] [0x000024ac] [debug]   Generating extra perimeters for region 0 in parallel - start
[2025-05-22 13:25:38.234718] [0x000024ac] [debug]   Generating extra perimeters for region 0 in parallel - end
[2025-05-22 13:25:38.234718] [0x000024ac] [debug]   Generating perimeters in parallel - start
[2025-05-22 13:25:38.234718] [0x000024ac] [trace]   Generating perimeters for layer 0
[2025-05-22 13:25:38.234718] [0x00000304] [trace]   Generating perimeters for layer 86
[2025-05-22 13:25:38.234718] [0x00002104] [trace]   Generating perimeters for layer 129
[2025-05-22 13:25:38.234718] [0x0000040c] [trace]   Generating perimeters for layer 43
[2025-05-22 13:25:38.234718] [0x000024ac] [trace]   Generating perimeters for layer 0, region 0
[2025-05-22 13:25:38.234718] [0x00000304] [trace]   Generating perimeters for layer 86, region 0
[2025-05-22 13:25:38.234718] [0x00002104] [trace]   Generating perimeters for layer 129, region 0
[2025-05-22 13:25:38.234718] [0x0000040c] [trace]   Generating perimeters for layer 43, region 0
[2025-05-22 13:25:38.234718] [0x00002104] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:25:38.234718] [0x00002104] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:25:38.234718] [0x00002104] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:25:38.234718] [0x000024ac] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 533429, inner-wall width = 533429.
[2025-05-22 13:25:38.234718] [0x00000304] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:25:38.234718] [0x0000040c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:25:38.234718] [0x000024ac] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:25:38.234718] [0x00000304] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:25:38.234718] [0x0000040c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:25:38.234718] [0x000024ac] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:25:38.234718] [0x00000304] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:25:38.234718] [0x0000040c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:25:38.245222] [0x00002104] [trace]   Generating perimeters for layer 129 - Done
[2025-05-22 13:25:38.245222] [0x00002104] [trace]   Generating perimeters for layer 130
[2025-05-22 13:25:38.245222] [0x00002104] [trace]   Generating perimeters for layer 130, region 0
[2025-05-22 13:25:38.245222] [0x00000304] [trace]   Generating perimeters for layer 86 - Done
[2025-05-22 13:25:38.245222] [0x00000304] [trace]   Generating perimeters for layer 87
[2025-05-22 13:25:38.245222] [0x00000304] [trace]   Generating perimeters for layer 87, region 0
[2025-05-22 13:25:38.245222] [0x00002104] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:25:38.245222] [0x00002104] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:25:38.245222] [0x00002104] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:25:38.245222] [0x00000304] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:25:38.245222] [0x00000304] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:25:38.245222] [0x00000304] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:25:38.245222] [0x00002104] [trace]   Generating perimeters for layer 130 - Done
[2025-05-22 13:25:38.245222] [0x00002104] [trace]   Generating perimeters for layer 131
[2025-05-22 13:25:38.245222] [0x00002104] [trace]   Generating perimeters for layer 131, region 0
[2025-05-22 13:25:38.245222] [0x00000304] [trace]   Generating perimeters for layer 87 - Done
[2025-05-22 13:25:38.245222] [0x00000304] [trace]   Generating perimeters for layer 88
[2025-05-22 13:25:38.245222] [0x00000304] [trace]   Generating perimeters for layer 88, region 0
[2025-05-22 13:25:38.245222] [0x00002104] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:25:38.245222] [0x00002104] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:25:38.245222] [0x00002104] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:25:38.245222] [0x00000304] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
