--- STDOUT ---
[2025-05-25 20:03:10.194579] [0x00000304] [debug]   TriangleMesh::repair() started
[2025-05-25 20:03:15.702060] [0x00000304] [debug]   TriangleMesh::repair() finished
[2025-05-25 20:03:16.399719] [0x00000304] [debug]   BuildVolume bed_shape clasified as: Rectangle
[2025-05-25 20:03:16.545140] [0x00000304] [info]    Starting the slicing process. WorkingSet: 71MB; PrivateBytes: 68MB; Pagefile(peak): 68MB(401MB)
10 => Processing triangulated mesh
[2025-05-25 20:03:16.545140] [0x00000304] [info]    Slicing volumes... WorkingSet: 71MB; PrivateBytes: 68MB; Pagefile(peak): 68MB(401MB)
[2025-05-25 20:03:16.545140] [0x00000304] [debug]   slice_mesh to polygons
[2025-05-25 20:03:17.440808] [0x00000304] [debug]   Slicing volumes - removing top empty layers
[2025-05-25 20:03:17.440808] [0x00000304] [debug]   Slicing volumes - make_slices in parallel - begin
[2025-05-25 20:03:17.440808] [0x00000304] [debug]   Slicing volumes - make_slices in parallel - end
20 => Generating perimeters
[2025-05-25 20:03:17.522736] [0x00000304] [info]    Generating perimeters... WorkingSet: 104MB; PrivateBytes: 101MB; Pagefile(peak): 101MB(401MB)
[2025-05-25 20:03:17.522736] [0x00000304] [debug]   Generating extra perimeters for region 0 in parallel - start
[2025-05-25 20:03:18.694183] [0x00000304] [debug]   Generating extra perimeters for region 0 in parallel - end
[2025-05-25 20:03:18.694183] [0x00000304] [debug]   Generating perimeters in parallel - start
[2025-05-25 20:03:18.694183] [0x00002c2c] [trace]   Generating perimeters for layer 28
[2025-05-25 20:03:18.694183] [0x00001b9c] [trace]   Generating perimeters for layer 42
[2025-05-25 20:03:18.694183] [0x00002c2c] [trace]   Generating perimeters for layer 28, region 0
[2025-05-25 20:03:18.694183] [0x00000a68] [trace]   Generating perimeters for layer 49
[2025-05-25 20:03:18.694183] [0x00001b9c] [trace]   Generating perimeters for layer 42, region 0
[2025-05-25 20:03:18.694183] [0x00000304] [trace]   Generating perimeters for layer 0
[2025-05-25 20:03:18.694183] [0x00000304] [trace]   Generating perimeters for layer 0, region 0
[2025-05-25 20:03:18.694183] [0x00000a68] [trace]   Generating perimeters for layer 49, region 0
[2025-05-25 20:03:18.694686] [0x00000304] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 533429, inner-wall width = 533429.
[2025-05-25 20:03:18.694686] [0x00000304] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-25 20:03:18.694686] [0x00000304] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-25 20:03:18.694686] [0x00000304] [trace]   Generating perimeters for layer 0 - Done
[2025-05-25 20:03:18.694686] [0x00000304] [trace]   Generating perimeters for layer 1
[2025-05-25 20:03:18.694686] [0x00000304] [trace]   Generating perimeters for layer 1, region 0
[2025-05-25 20:03:18.694686] [0x00000a68] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-25 20:03:18.694686] [0x00000a68] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-25 20:03:18.694686] [0x00000a68] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-25 20:03:18.694686] [0x00000304] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-25 20:03:18.694686] [0x00000304] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-25 20:03:18.694686] [0x00000304] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-25 20:03:18.694686] [0x00002c2c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-25 20:03:18.694686] [0x00002c2c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
