--- STDOUT ---
[2025-05-26 09:59:48.140615] [0x00001cb4] [debug]   TriangleMesh::repair() started
[2025-05-26 09:59:48.142683] [0x00001cb4] [debug]   TriangleMesh::repair() finished
[2025-05-26 09:59:48.166947] [0x00001cb4] [debug]   BuildVolume bed_shape clasified as: Rectangle
[2025-05-26 09:59:48.167975] [0x00001cb4] [info]    Starting the slicing process. WorkingSet: 32MB; PrivateBytes: 22MB; Pagefile(peak): 22MB(22MB)
10 => Processing triangulated mesh
[2025-05-26 09:59:48.167975] [0x00001cb4] [info]    Slicing volumes... WorkingSet: 32MB; PrivateBytes: 22MB; Pagefile(peak): 22MB(22MB)
[2025-05-26 09:59:48.167975] [0x00001cb4] [debug]   slice_mesh to polygons
[2025-05-26 09:59:48.222271] [0x00001cb4] [debug]   Slicing volumes - removing top empty layers
[2025-05-26 09:59:48.222271] [0x00001cb4] [debug]   Slicing volumes - make_slices in parallel - begin
[2025-05-26 09:59:48.232161] [0x00001cb4] [debug]   Slicing volumes - make_slices in parallel - end
20 => Generating perimeters
[2025-05-26 09:59:48.259526] [0x00001cb4] [info]    Generating perimeters... WorkingSet: 45MB; PrivateBytes: 32MB; Pagefile(peak): 32MB(32MB)
[2025-05-26 09:59:48.259526] [0x00001cb4] [debug]   Generating extra perimeters for region 0 in parallel - start
[2025-05-26 09:59:48.331648] [0x00001cb4] [debug]   Generating extra perimeters for region 0 in parallel - end
[2025-05-26 09:59:48.331648] [0x00001cb4] [debug]   Generating perimeters in parallel - start
[2025-05-26 09:59:48.331648] [0x000029bc] [trace]   Generating perimeters for layer 86
[2025-05-26 09:59:48.331648] [0x000029bc] [trace]   Generating perimeters for layer 86, region 0
[2025-05-26 09:59:48.331648] [0x00002a44] [trace]   Generating perimeters for layer 150
[2025-05-26 09:59:48.331648] [0x00002a44] [trace]   Generating perimeters for layer 150, region 0
[2025-05-26 09:59:48.336356] [0x00001300] [trace]   Generating perimeters for layer 129
[2025-05-26 09:59:48.336356] [0x00001300] [trace]   Generating perimeters for layer 129, region 0
[2025-05-26 09:59:48.336356] [0x000029bc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 09:59:48.336356] [0x000029bc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 09:59:48.336356] [0x000029bc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 09:59:48.336356] [0x00002a44] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 09:59:48.336356] [0x00002a44] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 09:59:48.336356] [0x00002a44] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 09:59:48.336356] [0x00001cb4] [trace]   Generating perimeters for layer 0
[2025-05-26 09:59:48.337355] [0x00001cb4] [trace]   Generating perimeters for layer 0, region 0
[2025-05-26 09:59:48.337355] [0x00001300] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 09:59:48.337355] [0x00001300] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 09:59:48.337355] [0x00001300] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 09:59:48.337355] [0x00002a44] [trace]   Generating perimeters for layer 150 - Done
[2025-05-26 09:59:48.337355] [0x000029bc] [trace]   Generating perimeters for layer 86 - Done
[2025-05-26 09:59:48.337355] [0x00001300] [trace]   Generating perimeters for layer 129 - Done
[2025-05-26 09:59:48.337355] [0x00002a44] [trace]   Generating perimeters for layer 151
[2025-05-26 09:59:48.337355] [0x000029bc] [trace]   Generating perimeters for layer 87
[2025-05-26 09:59:48.337355] [0x00001300] [trace]   Generating perimeters for layer 130
[2025-05-26 09:59:48.337355] [0x00002a44] [trace]   Generating perimeters for layer 151, region 0
[2025-05-26 09:59:48.337355] [0x00001cb4] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 533429, inner-wall width = 533429.
[2025-05-26 09:59:48.337355] [0x000029bc] [trace]   Generating perimeters for layer 87, region 0
[2025-05-26 09:59:48.337355] [0x00001300] [trace]   Generating perimeters for layer 130, region 0
[2025-05-26 09:59:48.337355] [0x00001cb4] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 09:59:48.337355] [0x00001cb4] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 09:59:48.337355] [0x00002a44] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 09:59:48.337355] [0x00002a44] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 09:59:48.337355] [0x00002a44] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 09:59:48.337355] [0x00001300] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 09:59:48.337355] [0x00001300] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 09:59:48.337355] [0x00001300] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 09:59:48.338352] [0x000029bc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 09:59:48.338352] [0x000029bc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 09:59:48.338352] [0x00002a44] [trace]   Generating perimeters for layer 151 - Done
[2025-05-26 09:59:48.338352] [0x000029bc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 09:59:48.338352] [0x00002a44] [trace]   Generating perimeters for layer 152
[2025-05-26 09:59:48.338352] [0x00002a44] [trace]   Generating perimeters for layer 152, region 0
