--- STDOUT ---
[2025-05-26 14:00:52.970485] [0x000033d4] [debug]   TriangleMesh::repair() started
[2025-05-26 14:00:53.242567] [0x000033d4] [debug]   TriangleMesh::repair() finished
[2025-05-26 14:00:53.415247] [0x000033d4] [debug]   BuildVolume bed_shape clasified as: Rectangle
[2025-05-26 14:00:53.423981] [0x000033d4] [info]    Starting the slicing process. WorkingSet: 42MB; PrivateBytes: 30MB; Pagefile(peak): 30MB(111MB)
10 => Processing triangulated mesh
[2025-05-26 14:00:53.423981] [0x000033d4] [info]    Slicing volumes... WorkingSet: 42MB; PrivateBytes: 30MB; Pagefile(peak): 30MB(111MB)
[2025-05-26 14:00:53.423981] [0x000033d4] [debug]   slice_mesh to polygons
[2025-05-26 14:00:56.811871] [0x000033d4] [debug]   Slicing volumes - removing top empty layers
[2025-05-26 14:00:56.811871] [0x000033d4] [debug]   Slicing volumes - make_slices in parallel - begin
[2025-05-26 14:00:56.866769] [0x000033d4] [debug]   Slicing volumes - make_slices in parallel - end
20 => Generating perimeters
[2025-05-26 14:01:00.192387] [0x000033d4] [info]    Generating perimeters... WorkingSet: 199MB; PrivateBytes: 202MB; Pagefile(peak): 202MB(324MB)
[2025-05-26 14:01:00.192387] [0x000033d4] [debug]   Generating extra perimeters for region 0 in parallel - start
[2025-05-26 14:01:07.994328] [0x000033d4] [debug]   Generating extra perimeters for region 0 in parallel - end
[2025-05-26 14:01:07.994328] [0x000033d4] [debug]   Generating perimeters in parallel - start
[2025-05-26 14:01:07.994328] [0x00001fa8] [trace]   Generating perimeters for layer 360
[2025-05-26 14:01:07.994328] [0x00001fa8] [trace]   Generating perimeters for layer 360, region 0
[2025-05-26 14:01:07.994328] [0x00002cfc] [trace]   Generating perimeters for layer 309
[2025-05-26 14:01:07.994328] [0x00000d60] [trace]   Generating perimeters for layer 206
[2025-05-26 14:01:07.994328] [0x00002cfc] [trace]   Generating perimeters for layer 309, region 0
[2025-05-26 14:01:07.994328] [0x000033d4] [trace]   Generating perimeters for layer 0
[2025-05-26 14:01:07.994328] [0x000033d4] [trace]   Generating perimeters for layer 0, region 0
[2025-05-26 14:01:07.994328] [0x00000d60] [trace]   Generating perimeters for layer 206, region 0
[2025-05-26 14:01:07.994328] [0x00001fa8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:01:07.994328] [0x00001fa8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:01:07.994328] [0x00001fa8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:01:07.994328] [0x000033d4] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 533429, inner-wall width = 533429.
[2025-05-26 14:01:07.994328] [0x000033d4] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:01:07.994328] [0x000033d4] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
